Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||Others are trying to find specialty defense work spared by the slowdown or new niches created by budget-cutting|||More venturesome businesses are applying their skills in commercial fields
Comparison|||he hopes the company can eventually get up to half of its revenue from commercial markets|||For now we're looking at buying some small companies with niche markets in the personal-computer business
Comparison|||Our ordnance business has been hurt very badly by the slowdown|||I wouldn't say we're out of the business
Comparison|||In late New York trading yesterday, the dollar was quoted at 1.8400 marks, up from 1.8353 marks late Wednesday, and at 142.10 yen, up from 141.52 yen late Wednesday|||Sterling was quoted at $1.5765, sharply down from $1.6145 late Wednesday
Comparison|||Even now, the American attack upon this tremendous problem is timid in relation to the magnitude of the threat.|||Colombia alone -- its government, its people, its newspapers -- does not have the capacity to fight this battle successfully
Comparison|||There has been a lot of talk that a large portion of the Colombian economy is sustained by the laundering of drug money|||In my opinion, this is not true
Comparison|||U.S. interests occasionally try to impose barriers to the import of another important Colombian export -- cut flowers -- into the American market|||A just price and an open market for what Colombian produces and exports should be the policy of the U.S
Comparison|||A few years ago, Mrs. Hammack insisted on buying earthquake insurance for this house, which had been converted into apartments|||Only about 20% of California home and business owners carried earthquake coverage
Comparison|||Adjusters who had been working on the East Coast say the insurer will still be processing claims from that storm through December|||It could take six to nine months to handle the earthquake-related claims
Comparison|||Some adjusters, like Alan Singer of San Diego, had been working in Charleston for nearly four weeks|||He returned home last Thursday, packed a bag with fresh clothes and reported for duty Friday in Walnut Creek
Comparison|||They would like to retrieve some appliances on the second floor, but wonder if it's safe to venture inside|||that, if the appliances can't be salvaged, their policy covers the replacement cost
Comparison|||I always knew that the 'Big One' was coming, but not during my lifetime|||Now she's thinking of contacting her own insurance agent
Comparison|||but nothing was severely damaged|||Her sister, Cynthia, wishes Toni had a different job
Comparison|||I would be much happier if this volume {in German stocks} were in Frankfurt rather than London|||that spreads "were too wide and volumes too light" in the extreme conditions on Manic Monday
Comparison|||at a special meeting on the day of the decline, directors of the Frankfurt Stock Exchange voted to extend their trading hours, although they haven't decided when or by how much|||the market still feels it "functioned OK during this crash
Comparison|||But it's just one of those things that happened|||Investors can be assured now that this kind of problem can never occur again
Comparison|||The California thrift has just announced a $226 million third-quarter loss|||How did this happen
Comparison|||There's some price at which we'd stop bidding|||He wouldn't specify what it was
Comparison|||Fidelity's junk fund has fallen 2.08% this year through Oct. 19|||the Vanguard fund rose 1.84%
Comparison|||Senior ministry officials huddled with creditors during the week in an attempt to agree on some form of restructuring that would keep Waertsilae Marine operating|||The talks may drag on for weeks before any concrete result is announced
Comparison|||The EC Commission decided that such an accord doesn't benefit consumers enough to merit an exemption from antitrust law|||The airlines presented it as offering consumers more choice and better flight connections
Comparison|||that Mr. Redford's environmental views are at odds with Utah residents|||This may have been true 10 years ago, but times have changed, even in Utah
Comparison|||We've been putting in long hours -- six-day weeks and 13-hour days for the last two months|||A year ago you'd spend two days working and two days in the yard
Comparison|||The same roller-coaster prices that halted U.S. oil exploration and drove many veteran oil men and companies out of the business also played havoc with the nation's inflation rate, the trade deficit and oil users' corporate and personal budgets|||Now, at least some predictability has returned, for everyone from economists to motorists
Comparison|||A kind of no-mistakes mentality" had been stifling activity|||Now "everybody is a lot more optimistic
Comparison|||Most oil companies, when they set exploration and production budgets for this year, forecast revenue of $15 for each barrel of crude produced|||Prices have averaged more than $2 a barrel higher than that
Comparison|||Norman Young, a "mud-logger" at the Sniper well, has worked all but about nine days of this year|||Last year, "I was off a straight month, then one time for two to three weeks and another two to three weeks
Comparison|||First year I came back there wasn't any work|||it's on the way back now
Comparison|||No major booms, no major setbacks|||Business has been good enough that he just took a spur-of-the-moment weekend trip to the mountain area of Cloudcroft, something "I haven't done in years
Comparison|||According to Baker Hughes Inc., 992 rotary rigs were at work in the U.S. last week, up from the year-ago count of 933|||In 1981, before the bust, the rig count was above 4,000
Comparison|||He got three trucks and a backhoe cheap|||I want to add one more truck
Comparison|||Real heroes exist|||You might not find one in the `Jurisprudence' column
Comparison|||We had intercepted during the year an estimated $5 billion street value of cocaine|||I don't know how much got through
Comparison|||It seems to me we're not really going to get anywhere until we can take the criminality out of the drug business and the incentives for criminality out of it|||Frankly, the only way I can think of to accomplish this is to make it possible for addicts to buy drugs at some regulated place at a price that approximates their cost
Comparison|||that it planned to ship a computer based on the 486 chip early next year|||These bugs don't affect our schedule at all
Comparison|||We haven't modified our schedules in any way|||To switch to another vendor's chips, "would definitely not be an option
Comparison|||In late September, IBM began shipping a plug-in card that converts its PS/2 model 70-A21 from a 80386 machine to an 80486 machine|||the company told customers Monday about the bugs and temporarily stopped shipping the product
Comparison|||Compaq, which said it discovered the bugs, still plans to announce new 486 products on Nov. 6.|||That's a break from Compaq tradition, because the company doesn't announce products until they're actually at the dealers
Comparison|||I always lift the hood |||there's nothing wrong 
Comparison|||One group says the futures contribute to stock market volatility|||the other contends that futures are a sideshow of speculation that detracts from the stock market's basic function of raising capital
Comparison|||The kind of instant liquidity that is implied by index futures is that you can buy a portfolio over two years and get out in one day|||It's too disruptive
Comparison|||His daughter turns to dressmaking, then to peddling herself for a few piasters|||One son sacrifices his own career so that his avaricious brother can succeed
Comparison|||The main factors for the September increase from the previous month were higher prices for services, food and housing|||Prices fell marginally for fuel and electricity
Comparison|||Under the initial proposal, for example, banks would have been required to disclose that portion of allowances for loan losses that reflects specific letters of credit for which customers had defaulted|||The final rule won't require such a breakdown of the allowances for loan losses, which appears on the balance sheet
Comparison|||it will likely pay rent of $10 to $15 per square foot|||they will be asking $50 per square foot for rent to fill the space that Exxon is vacating
Comparison|||The result is that those rich enough to own any real estate at all have boosted their holdings substantially|||For those with no holdings, the prospects of buying a home are ever slimmer
Comparison|||that even if the policies work to slow or stop speculation, apartment prices are unlikely to go down|||At best they will rise more slowly
Comparison|||there's any legal reason to limit forfeiture of attorney's fees to drug cases|||his office "just responded to an attorney's question about whether we would go after attorney's fees, and that is different from actually doing it, although we reserve that right
Comparison|||In that suit, the SEC accused Mr. Antar of engaging in a "massive financial fraud" to overstate the earnings of Crazy Eddie, Edison, N.J., over a three-year period|||Through his lawyers, Mr. Antar has denied allegations in the SEC suit and in civil suits previously filed by shareholders against Mr. Antar and others
Comparison|||Vandenberg and Rayburn were wise enough to leave specific operations to presidents|||modern senators, Mr. Boren notwithstanding, are less modest
Comparison|||The result is that the Senate committee has what amounts to veto power over every covert action|||I wouldn't say it's quite a veto
Comparison|||In Panama, the U.S. interests at stake were happily minor; the only people killed were foreigners hapless enough to trust American will|||Americans may not be so lucky the next time
Comparison|||Colony banks have a major stake in how interest rates move because of their enormous Hong Kong-dollar exposure|||Even though the currency is pegged to the U.S. dollar, with a fixed exchange rate of HK$7.8 to the American currency, the U.S. and Hong Kong economies don't always move in lock step, making it difficult to predict where interest rates in the colony will go
Comparison|||In early 1988, when the three-month Eurodollar rate was between 7% and 8%, the three-month Hibor rate was as low as 1%|||Just a few months ago, the three-month Eurodollar rate was around 9.5%, while three-month Hibor hit highs above 11%
Comparison|||that Hibor futures were designed for institutions and corporations, not for the type of small individual investors who were very active in Hang Seng index futures and defaulted in the 1987 crash|||the low margin required for trading futures attracted a lot of small investors before the 1987 crash who didn't realize that their risk was virtually unlimited
Comparison|||One section of the bill would make all commodity brokerage firms and floor brokers liable for damages without willful misconduct|||Nowhere in the federal securities law is simple negligence or inadvertent action a source of liability under similar circumstances
Comparison|||Another measure makes commodity brokerage firms liable for violations committed by independent floor brokers who execute trades for them|||This untried concept would expose these firms to potentially astronomical punitive damages
Comparison|||When problems surface, the temptation becomes strong to summarily overhaul a market system that has served for more than 100 years|||That temptation must be put aside to permit careful consideration of all the implications, positive and negative, of the proposed resolutions to those problems, and to avoid creating a marketplace where no one trades
Comparison|||He is an avuncular figure who remembers the birthdays of colleagues' children, opens doors for women, and almost never has a bad word to say about anybody|||More important, he emerged as a peacemaker last summer after the Central Park rape of a white jogger and the racial murder of a black teen-ager in the white Brooklyn neighborhood of Bensonhurst
Comparison|||Then, two days before receiving an endorsement from environmental groups, Mr. Dinkins promised he would issue a three-year moratorium on construction of garbage-incinerator plants|||That announcement was roundly criticized by Mayor Koch -- who has endorsed Mr. Dinkins -- because the city faces a garbage crisis and has already spent $5 million planning for an incinerator that would be scrapped under Mr. Dinkins's proposal
Comparison|||In the midst of a labor shortage, he proposes linking city subsidies to businesses to their record of hiring New York City residents|||With an untrained local labor pool that policy could drive businesses from the city
Comparison|||And he favors a more cooperative approach toward the neighboring states of New Jersey and Connecticut in the battle over companies thinking of moving employees out of New York City|||the Koch administration's aggressive approach helped save 5,000 Chase Manhattan Bank jobs from moving across the Hudson
Comparison|||Mr. Dinkins's inner circle of advisers appears to include both ideologues and pragmatists|||The key man seems to be the campaign manager, Mr. Lynch
Comparison|||We know there are potholes for the city out there|||If any of us think we're going to sidetrack David's determination to be the best possible mayor because of his obligations to us, we are making a sad mistake
Comparison|||but so far has failed to generate excitement about his own candidacy|||As a Republican in an overwhelmingly Democratic city, Mr. Giuliani has an inherent handicap
Comparison|||The newspaper could fetch between 15 million and 20 million Canadian dollars (US$12.8 million to $17.1 million), said one analyst|||A spokesman for Southam declined to comment on the price the company is seeking or on estimates of the paper's annual losses
Comparison|||This bacterium produces a toxin that, if used as a vaccine, can induce immunity to whooping cough|||Unfortunately, the toxin is also poisonous
Comparison|||Ordinarily in genetic engineering each of these genes, minus the one that caused the virulence, would have been transferred to another bacterium, called E. coli, which would then produce a nonvirulent version of the toxin|||they did this, but the toxin didn't induce immunity to whooping cough
Comparison|||In 1796, Mayer Amschel Rothschild founded Bankhaus M.A. Rothschild & Sons and later sent his four sons to London, Paris, Vienna and Naples to begin the bank's expansion during the early 19th century|||The original bank in Frankfurt closed in 1901 after the death of Wilhelm Carl von Rothschild, and the family's banking activities focused on London and Paris
Comparison|||In March, N M Rothschild in London and Rothschild Bank in Zurich showed assets of #4.1 billion ($6.51 billion) and 1.26 billion Swiss francs ($774 million), respectively|||The Paris bank doesn't publish that figure
Comparison|||Late in London, the dollar was quoted at 1.8410 West German marks and 142.70 Japanese yen, up from late Monday in New York|||British sterling eased to $1.5775 from $1.5825
Comparison|||The benchmark 30-year bond was nearly 1/4 point higher, or up about $2.50 for each $1,000 face amount|||New two-year notes ended unchanged while three-year and four-year notes were slightly lower
Comparison|||New two-year notes ended unchanged while three-year and four-year notes were slightly lower|||Municipal bonds ended unchanged to as much as 1/2 point higher while mortgage-backed securities were up about 1/8 point
Comparison|||The benchmark 30-year bond was nearly 1/4 point higher, or up about $2.50 for each $1,000 face amount.|||Corporate bonds were unchanged
Comparison|||The discount rate on three-month Treasury bills rose slightly from the average rate at Monday's auction to 7.79% for a bond-equivalent yield of 8.04%|||The discount rate on six-month Treasury bills fell slightly to 7.60% for a bond-equivalent yield of 7.99%
Comparison|||Freddie Mac's 9 1/2% issue was quoted at 99 20/32, up 3/32 from Monday|||Fannie Mae's 9% issue was at 98 7/32, up 1/8
Comparison|||Germany's 7% bond due October 1999 was unchanged at 99.35 to yield 7.09% while the 6 3/4% notes due July 1994 rose 0.025 point to 97.275 to yield 7.445%|||Japanese government bonds showed little change
Comparison|||This, in turn, threatens the massive vested interests of which you have written|||My questions on this subject at a recent meeting at the World Resources Institute with representatives of the National Resource Development Commission, the Environmental Protection Agency, Friends of the Earth, etc. were greeted with derision and some mumbled comments about that report being discredited
Comparison|||In the September issue of Scientific American, Thomas E. Graedel, distinguished member of the technical staff at AT&T Bell Laboratories, and Paul J. Crutzen, director of the air chemistry division of the Max Planck Institute for Chemistry in Mainz, West Germany, wrote, "It is now quite evident that chlorofluorocarbons, particularly CFC-11 and CFC-12 are the major culprits responsible for ozone depletion|||Mr. Melloan quotes Peter Teagan and invokes the name of Arthur D. Little Inc. to support his statement
Comparison|||The big questions are whether the increase, effective Jan. 1, 1990, will stick, and whether other major steelmakers will follow suit|||It is widely expected that they will
Comparison|||Major steel producers are selling cold rolled sheet steel at about $370 a ton, compared with a peak price of $520 a ton in 1988|||Second-tier companies are receiving even less per ton
Comparison|||They {LTV} may believe this can impact contract negotiations and is their signal to the world that now is the time to get tough on prices|||Mr. Marcus believes spot steel prices will continue to fall through early 1990 and then reverse themselves
Comparison|||However, StatesWest isn't abandoning its pursuit of the much-larger Mesa|||it may purchase more Mesa stock or make a tender offer directly to Mesa shareholders
Comparison|||StatesWest serves 10 cities in California, Arizona and Nevada|||Mesa flies to 42 cities in New Mexico, Arizona, Wyoming, Colorado and Texas
Comparison|||In the third quarter, the company, which is 61%-owned by Murphy Oil Corp. of Arkansas, had a net loss of $46.9 million, or 91 cents a share, compared with a restated loss of $9 million, or 18 cents a share, a year ago|||The latest period had profit from continuing operations of $4 million
Comparison|||Democrats want to avoid having to make that choice by making the capital-gains tax cut an individual bill|||Sen. Mitchell is confident he has sufficient votes to block such a measure with procedural actions
Comparison|||Turkey's legislature elected Prime Minister Ozal as the country's first civilian president since 1960, opening the way for a change of government under a new premier he will select|||The vote in Ankara was boycotted by opposition politicians, who vowed to oust Ozal
Comparison|||In the 12 months ended in September, wages and salaries of private-sector workers rose 4.4%, while health insurance costs spurted by 13.7%|||The consumer price index climbed 4.3% in the same period
Comparison|||For private-sector union workers, the cost of wages and benefits rose 0.9% in the third quarter|||For nonunion workers, the costs rose 1.4%
Comparison|||Including employees of state and local governments, the employment cost index rose 1.6% in the third quarter, compared with a 1.3% rise in the same quarter in 1988|||The index rose 1.1% in the second quarter
Comparison|||For the 12 months ended in September, this index was up 5.1%|||It rose 4.8% for the 12 months ended in June and 4.7% in the 12 months ended in September 1988
Comparison|||that it is negotiating to sell a 20% interest in its real estate unit to the California Public Employees Retirement System for roughly $400 million|||Since the real estate unit also includes debt, the imputed value of the real estate itself is close to $3 billion
Comparison|||If the railroad is valued on a private market basis it would have a value of $1.65 billion|||A compromise between bulls and bears puts remaining assets and cash at $2 billion
Comparison|||and, in the meantime, is sticking to his "buy" recommendation on the belief that he will find "values" of 30 a share|||If for any reason I don't have the values, then I won't recommend it
Comparison|||First Boston's Graeme Anne Lidgerwood values Santa Fe at 24, down from her earlier estimate of 29|||Her recent report classifies the stock as a "hold
Comparison|||They hope they can buy some government cost discipline," but this is a false hope|||that government has done an even worse job of controlling its health bill than business
Comparison|||it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30|||Coast earned $10.2 million, or 67 cents a share, in the year-ago quarter
Comparison|||it didn't use "the misleading expression `reduced from original prices|||the company marked price tags and advertised at its "lowest possible prices" for all its merchandise to reduce public confusion
Comparison|||The Financial Accounting Foundation voted 12-2 that FASB accounting rules supercede GASB rules in regard to utilities, hospitals, and colleges and universities owned by the government|||GASB rules still apply for other government units
Comparison|||Separately, the bill gives authority to the Department of Housing and Urban Development to facilitate the refinancing of high-interest loans subsidized by the government under the so-called Section 235 home-ownership program for lower-income families|||This provision met early and strong resistance from investment bankers worried about disruptions in their clients' portfolios
Comparison|||In London, the Financial Times 100-share index finished 30.1 points higher at 2112.2|||The index settled off the high of 2117.1 posted after Wall Street opened stronger
Comparison|||The 30-share index settled 23.2 points higher at 1701.7|||Volume was only 256.6 million shares, breaking the previous 1989 low of 276.8 million shares recorded Oct. 23
Comparison|||Glaxo was the biggest gainer, jumping 35 to #13.78 ($21.72) on anticipation of a stock split next week|||Total turnover in Glaxo was a thin 975,000 shares
Comparison|||The Tokyo Stock Price Index of all issues listed in the First Section, which fell 15.82 points Friday, was down 5.16 points, or 0.19%, at 2676.60|||The Second Section index, which fell 36.87 points Friday, was down 21.44 points, or 0.59%, to close at 3636.06
Comparison|||Big Board officials have been under seige from both investors and the exchange's own floor traders since the Dow Jones Industrial Average's 190-point tumble on Oct. 13|||Mr. Phelan hasn't been making public remarks in recent days
Comparison|||Early last year, after a 140-point, one-day drop in the Dow, the Big Board instituted the collar, which banned program trading through the Big Board's computers whenever the Dow moved 50 points up or down in a day|||It didn't work
Comparison|||Despite what some investors are suggesting, the Big Board isn't even considering a total ban on program trading or stock futures|||Most revisions it will propose will be geared toward slowing down program trading during stressful periods
Comparison|||Those who testified {yesterday} have consistently maintained that anyone who didn't agree with them is part of a coverup, a whitewash, or the subject of excessive influence|||We simply don't agree with that or the findings of their investigation
Comparison|||Mr. Meek said his suspicions were aroused by several foreign investments by Lincoln, including $22 million paid to Credit Suisse of Switzerland, an $18 million interest in Saudi European Bank in Paris, a $17.5 million investment in a Bahamas trading company, and a recently discovered holding in a Panama-based company, Southbrook Holdings|||Mr. Bickwit said, "I can see why an S&L examiner would regard these as unusual activities," but said the overseas investments "essentially broke even" for the S&L
Comparison|||You'd think all the stories about well-heeled communities and developers getting HUD grants would prompt Congress to tighten up on upscale housing subsidies|||No way
Comparison|||No way|||Congress has just made it easier for the affluent to qualify for insured loans from the deficit-ridden Federal Housing Administration
Comparison|||Right now, the largest loan the FHA can insure in high-cost housing markets is $101,250|||Last week, housing lobbies persuaded Congress to raise the ceiling to $124,875, making FHA loans more accessible to the well-to-do
Comparison|||that HUD Secretary Jack Kemp is toying with going along with some of the Cranston-Mitchell proposals|||That sounds like a formula for ensuring that he gets dragged into the next HUD tar pit
Comparison|||Of course, self-reform is about the last thing this Congress is interested in|||Proponents of expanding FHA programs say they merely want to help home buyers who are frozen out of high-priced markets
Comparison|||and they are surely headed for the Capitol Hill sausage-grinder|||Like the S&L mess before it, this is a problem Congress should be solving, not ignoring
Comparison|||MiniScribe also hasn't filed any financial statements for 1989|||such statements should be ready by the end of November
Comparison|||He said he expects the company to have $500 million in sales for this year|||He didn't say what the company expected to report for year-earlier sales, which will be restated from the previously reported $603 million
Comparison|||The company also faces delisting by the National Association of Securities Dealers|||The company continues to trade in the over-the-counter market with an exception to listing requirements
Comparison|||In late afternoon New York trading yesterday, the dollar stood at 1.8415 West German marks, up from 1.8340 marks late Monday, and at 142.85 yen, up from 141.90 yen late Monday|||A month ago, a similar survey predicted the dollar would be trading at 1.8690 marks and 139.75 yen by the end of October
Comparison|||he expects U.S. interest rates to decline, dragging the dollar down to around 1.80 marks by the end of January after a short-lived dash to 1.87 marks by the end of November|||West German interest rates will remain unchanged
Comparison|||Conservative Japanese investors are put off by what they consider Mexico's restrictive investment regulations and loose work habits|||From the Mexicans' viewpoint, vaunted tactics of methodical Japanese managers don't count for much in a land where a saying says "there are no fixed rules
Comparison|||The Japanese will come to Mexico, but not immediately|||If not now, when
Comparison|||There seems to be a presumption in some sectors of (Mexico's) government that there is a lot of Japanese money waiting behind the gate, and that by slightly opening the gate, that money will enter Mexico|||that is the case
Comparison|||it is delaying approval of First Union Corp. 's proposed $849 million acquisition of Florida National Banks pending the outcome of an examination into First Union's lending practices in low-income heighborhoods|||Florida National said yesterday that it remains committed to the merger
Comparison|||I love this business|||Most of the LBO guys don't know how to run a business anyway
Comparison|||We weren't allowed to do any due diligence because of competitive reasons|||If we had, it might have scared us off
Comparison|||and Pinkerton's was forced to borrow $20 million of subordinated debt|||We wouldn't have had to refinance if a lot of the problems hadn't been there
Comparison|||We wouldn't have had to refinance if a lot of the problems hadn't been there|||This year the firm will be able to service debt and still turn a modest profit
Comparison|||American Brands "just had a different approach|||Their approach didn't work
Comparison|||Mr. Edelman said the decision "has nothing to do with Marty Ackerman|||Mr. Ackerman contended that it was a direct response to his efforts to gain control of Datapoint
Comparison|||For all of 1988, Bouygues had consolidated profit of 519 million francs, after payments to minority interests, on revenue of 50 billion francs|||The group has forecast 1989 revenue of 56.9 billion francs
Comparison|||The big word around Specialized is passion|||What I hope to bring to this is another word: process
Comparison|||Ogden Projects, whose shares began trading on the New York Stock Exchange in August, closed yesterday at $26.875, down 75 cents|||The stock began trading this summer at $14 apiece
Comparison|||it is part of a continuing world-wide restructuring in which it has downsized or sold operations in several countries|||its continued presence in South Africa "enables it to make meaningful contributions to South African society, to the lives of its employees and to the communities in which it operates
Comparison|||According to Avery, for the year ended Sept. 30, 1988, Uniroyal Chemical had sales of $734.2 million and a net loss of $47.1 million|||that the loss was magnified by accounting adjustments and that the company's loss was smaller on a cash basis
Comparison|||In January 1989, the two men acquired the non-packaging assets of Triangle, including a controlling stake in Avery and, by extension, Uniroyal Chemical|||that unless it sold Uniroyal, its ability to service debt would be hurt and Avery's shareholder value would "continue to erode
Comparison|||A separate inquiry by Chemical cleared Mr. Edelson of allegations that he had been lavishly entertained by a New York money broker|||That inquiry hasn't resolved similar allegations involving another Chemical options trader
Comparison|||Consolidation has been long overdue|||It was just the culture of the industry that kept it from happening
Comparison|||its board isn't likely to meet before the week after next to respond to the bid|||The board has 10 business days to respond
Comparison|||Of the proceeds, $500 million will be used to fund its tender offer|||Sea Containers added that the recapitalization plan will reduce its debt by more than $500 million
Comparison|||Earlier this year, President Bush made a final "take-it-or-leave it" offer on the minimum wage: an increase to $4.25 an hour over three years, and only if accompanied by a lower wage for the first six months of a job|||Now, the White House has decided to accept the higher wage over only two years
Comparison|||Philip Morris seems determined to evolve beyond its roots in Marlboro country|||that its name recognition among most consumers remains unusually low, although its array of brands blanket supermarket shelves
Comparison|||Philip Morris hopes that by taking its Bill of Rights theme to the airwaves, in addition to publications, it will reach the broadest possible audience|||Until now, its corporate ads, mainly promoting its sponsorship of the arts, have appeared almost exclusively in newspapers and magazines
Comparison|||If they think well of the company through our support of the Bill of Rights, it follows they'll think well of our products|||the Bill of Rights commercial, which trumpets the themes of liberty and freedom of expression, isn't designed to have any special appeal for smokers
Comparison|||They aren't showing James Madison taking a puff or lighting up|||All they are trying to do is borrow some of the legitimacy of the Bill of Rights itself
Comparison|||Official trading in the shares will start in London, Paris and Brussels on Nov. 6, when the French-franc denominated offering, valued at the equivalent of nearly $1 billion, comes to market in the European Community|||U.S. investors will be permitted to buy the shares from EC investors 90 days later
Comparison|||those estimates are based on Fantasy being in operation in 1990|||If the ship fails to arrive, those per-share earnings estimates could be trimmed 15 cents or more
Comparison|||The government contract required Meredith Relocation Corp. to purchase employees' homes based on independent appraisals|||that the company "engaged in various forms of misrepresentation" with the goal of reducing the appraised value of employees' homes
Comparison|||Underwriting syndicates at Lloyd's, the world's largest insurance market, generally don't close their accounts for three years, to allow for the filing of claims and litigation|||When such claims and litigation extend beyond the period, the syndicates can extend their accounting deadlines
Comparison|||and two directors attempted to place the company under bankruptcy-law protection|||A federal judge turned down the Chapter 11 petition
Comparison|||Only two states -- Vermont and Washington -- this year joined five others requiring private employers to grant leaves of absence to employees with newborn or adopted infants|||Similar proposals were defeated in at least 15 other states
Comparison|||The preferential treatment even applies to awarding small contracts under $25,000 and consulting and temporary services -- which often go to the smaller concerns|||Firms are permitted wide flexibility in the child-care arrangements they provide
Comparison|||NOVEMBER BALLOTS will contain few referendum or initiative issues that especially affect small business|||In San Francisco, small businesses are urging passage of a local initiative to build a new $95 million downtown baseball stadium
Comparison|||Previously, regulators insisted that franchisers pre-register such changes with the state -- a costly process taking at least six weeks|||Now some negotiated sales that meet a series of tests don't have to be pre-registered
Comparison|||The champion apparently was not worried at all about D.T.'s strong points|||Its chief builder, Taiwan-born Feng-hsiung Hsu, nicknamed his brainchild "the Weasel" for its tactical flair at wriggling out of horrible positions
Comparison|||And when a defensive move was called for, D.T. passed up an obvious pawn move and instead exposed its queen to immediate tactical threats|||that "even a weak club player" would have avoided the queen move
Comparison|||For the first eight months of 1989, thrifts' withdrawals exceeded deposits by $44.5 billion|||For the prior year, deposits exceeded withdrawals by $8.8 billion
Comparison|||Third-quarter net income at Texaco rose to $305 million from $274 million last year|||Revenue declined 3.4%, to $8.4 billion from $8.7 billion
Comparison|||Earnings included a one-time gain of $192 million on a property transaction in Hong Kong|||Exploration and production profits slumped $40 million due to a provision for restructuring costs
Comparison|||Her commute from Petaluma, Calif., normally takes an hour and 15 minutes|||Yesterday, she was still waiting at a bus stop after three hours
Comparison|||At the San Mateo Bridge, which connects the San Francisco peninsula with the East Bay, police were surprised at the speed with which traffic moved|||Everybody pretty much pitched in and cooperated
Comparison|||evidence suggesting defects in the official output estimates|||The evidence does not clearly support the view that the downward bias in output growth has become greater during the 1948-89 period, but all I am claiming is that the growth trend is understated
Comparison|||This means that no allowance is made for possible increases in output per unit of labor|||In an unrelated program in which the Labor Department does estimate output per employee for more than two-thirds of federal civilian employees, it found an average annual rate of productivity improvement of 1.7% during the 1980s
Comparison|||The federal productivity estimators use labor input, rather than output, data for their calculations of half of private financial and service industries as well|||Independent estimates of output in those industries, including one by the Department of Labor for banking, suggests that productivity in finance and services appears to have risen by an average of at least 1.5% a year between 1948 and 1988
